condition,eventType,N,success_N,success_rate,Re_assist_micro,Re_disciplined_micro,Re_assist_mean,responsibility_consistency,N_wrong_assist,N_claim_assist,Ef_assist_micro,fact_consistency_rate,readability_mean,structured_compliance_mean,field_completeness_rate,confidence_present_rate,evidence_count_mean,evidence_fill_ratio_mean,evidence_calibration_mean,PQI_mean,derived_signal_recall_mean,rawText_chars_mean,rawText_non_overlap_mean,analysis_depth_chars_mean,suggestion_count_mean,text_chars_mean,latency_ms_mean,latency_ms_p50,latency_ms_p95,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,total_tokens_sum,completion_to_prompt_ratio,retry_rate,QI_mean,evidence_hits_total,tokens_per_evidence_hit,VQI_mean,Re_per_1k_tokens,QI_per_1k_tokens,latency_per_1k_tokens
P5_D0,ENVIRONMENT_DISTURB,6,6,1.0,0.8611,0.8611,0.8611,0.6667,5,42,0.119,0.881,5.0,1.0,1.0,1.0,6.0,1.0,1.0,96.94,0.8333,70.6667,0.993,540.1667,5.0,1228.6667,40507.85,39397.4,57332.6,1550.3333,2391.0,3941.3333,23648.0,1.5422,0.0,85.87,31,762.8,21.79,0.2185,21.787,10277.7
P5_D0,MULTI_FACTOR,7,7,1.0,0.881,0.881,0.8809,0.8571,8,58,0.1379,0.8621,5.0,1.0,1.0,1.0,6.0,1.0,1.0,97.38,0.8095,81.8571,1.0,502.7143,4.8571,1135.1429,30349.5143,30220.5,38041.03,1561.1429,1758.8571,3320.0,23240.0,1.1266,0.0,90.4171,37,628.1,27.23,0.2654,27.2341,9141.42
P5_D0,TTC_LOW_RISK,6,6,1.0,0.9167,0.9167,0.9166,0.8333,3,52,0.0577,0.9423,5.0,1.0,1.0,1.0,6.0,1.0,1.0,98.17,0.7222,109.5,0.976,494.3333,4.8333,1172.5,28522.5333,25206.9,37714.32,1569.3333,1756.8333,3326.1667,19957.0,1.1195,0.0,92.38,33,604.8,27.77,0.2756,27.7737,8575.2
P6_D0,AEB_DELAY_OR_MISS,6,6,1.0,0.9722,0.9722,0.9722,0.5,3,42,0.0714,0.9286,5.0,1.0,1.0,1.0,6.0,1.0,1.0,99.39,0.75,349.3333,1.0,482.6667,5.0,1400.0,31079.6667,26627.8,46325.65,1778.0,1981.0,3759.0,22554.0,1.1142,0.0,88.035,35,644.4,23.42,0.2586,23.4198,8268.07
P6_D0,AUTOPILOT_FAULT,6,6,1.0,0.8611,0.8611,0.8611,0.1667,3,43,0.0698,0.9302,5.0,1.0,1.0,1.0,6.0,1.0,1.0,96.94,0.75,392.8333,0.994,563.1667,4.8333,1569.8333,41473.4167,40024.75,55815.48,1773.0,2479.8333,4252.8333,25517.0,1.3987,0.0,76.4283,31,823.1,17.97,0.2025,17.9711,9751.95
P6_D0,COLLISION,7,7,1.0,0.881,0.86,0.8809,1.0,6,57,0.1053,0.8947,5.0,1.0,1.0,1.0,5.8571,0.9762,0.9762,97.1,0.6905,351.8571,1.0,490.2857,5.0,1402.5714,42416.7571,45652.4,59073.09,1723.5714,2577.0,4300.5714,30104.0,1.4952,0.0,93.5857,37,813.6,21.76,0.2049,21.7612,9863.05
P6_D0,DRIVER_SLOW_REACTION,6,6,1.0,0.8889,0.8642,0.8889,1.0,3,46,0.0652,0.9348,5.0,1.0,1.0,1.0,5.8333,0.9722,0.9722,97.22,0.6667,371.5,0.9981,486.6667,5.0,1410.3333,48608.2333,40291.85,81089.8,1719.1667,2278.8333,3998.0,23988.0,1.3255,0.0,94.3683,32,749.6,23.6,0.2223,23.6039,12158.14
P6_D0,DRIVER_TAKEOVER_FAIL,6,6,1.0,0.8611,0.8611,0.8611,0.1667,4,45,0.0889,0.9111,5.0,1.0,1.0,1.0,6.0,1.0,1.0,96.94,0.8611,410.6667,0.9978,489.3333,5.0,1468.5,38765.1167,37176.25,49281.65,1695.1667,2171.1667,3866.3333,23198.0,1.2808,0.0,76.2133,31,748.3,19.71,0.2227,19.712,10026.33
P6_D0,ENVIRONMENT_DISTURB,6,6,1.0,0.8611,0.8611,0.8611,0.5,3,48,0.0625,0.9375,5.0,1.0,1.0,1.0,6.0,1.0,1.0,96.94,0.8055,395.5,0.9958,442.6667,4.8333,1406.8333,40726.2167,40339.85,56006.35,1719.3333,2351.0,4070.3333,24422.0,1.3674,0.0,83.1483,31,787.8,20.43,0.2116,20.4279,10005.62
P6_D0,MULTI_FACTOR,7,7,1.0,0.9286,0.9286,0.9286,0.7143,7,56,0.125,0.875,5.0,1.0,1.0,1.0,6.0,1.0,1.0,98.43,0.8333,363.2857,1.0,533.1429,5.0,1453.0,46615.3571,43138.8,87155.82,1730.1429,2203.2857,3933.4286,27534.0,1.2735,0.0,89.8214,39,706.0,22.84,0.2361,22.8354,11851.07
P6_D0,TTC_LOW_RISK,6,6,1.0,0.9444,0.9181,0.9444,0.8333,6,50,0.12,0.88,5.0,1.0,1.0,1.0,5.8333,0.9722,0.9722,98.44,0.7222,448.1667,0.998,465.8333,5.0,1453.0,40442.5333,44131.15,49425.48,1738.3333,2428.0,4166.3333,24998.0,1.3967,0.0,92.9283,34,735.2,22.3,0.2267,22.3046,9706.98
